Date,Total_LDZ_Demand
2018-11-28,837.512598
2018-11-29,798.02157
2018-11-30,798.781594
2018-12-01,740.804676
2018-12-02,648.263714
2018-12-03,693.057595
2018-12-04,770.212604
2018-12-05,782.234362
2018-12-06,702.987088
2018-12-07,710.564291
2018-12-08,678.437914
2018-12-09,694.283294
2018-12-10,834.305817
2018-12-11,886.09568
2018-12-12,971.516339
2018-12-13,1045.048498
2018-12-14,1007.737373
2018-12-15,998.047179
2018-12-16,968.991063
2018-12-17,975.281557
2018-12-18,951.028867
2018-12-19,918.529059
2018-12-20,887.782315
2018-12-21,859.545082
2018-12-22,703.070167
2018-12-23,690.555645
2018-12-24,754.691528
2018-12-25,786.068266
2018-12-26,842.711628
2018-12-27,902.284214
2018-12-28,885.466305
2018-12-29,805.275263
2018-12-30,750.681379
2018-12-31,742.341807
2019-01-01,750.582962
2019-01-02,911.095475
2019-01-03,988.568318
2019-01-04,1011.958126
2019-01-05,924.000792
2019-01-06,863.291613
2019-01-07,903.217636
2019-01-08,929.853902
2019-01-09,1012.468677
2019-01-10,1043.807706
2019-01-11,980.608822
2019-01-12,871.156522
2019-01-13,802.854674
2019-01-14,896.078532
2019-01-15,933.276563
2019-01-16,911.590937
2019-01-17,968.568553
2019-01-18,1027.604615
2019-01-19,1005.514159
2019-01-20,1028.699582
2019-01-21,1135.323228
2019-01-22,1163.064038
2019-01-23,1186.33135
2019-01-24,1174.159238
2019-01-25,1086.577518
2019-01-26,929.852668
2019-01-27,942.406019
2019-01-28,1038.237269
2019-01-29,1070.109713
2019-01-30,1117.951126
2019-01-31,1143.810619
2019-02-01,1088.243164
2019-02-02,1004.229345
2019-02-03,980.227008
2019-02-04,1040.99219
2019-02-05,1009.344607
2019-02-06,943.281083
2019-02-07,912.787679
2019-02-08,869.814293
2019-02-09,782.091714
2019-02-10,792.19731
2019-02-11,889.645944
2019-02-12,895.022944
2019-02-13,880.619418
2019-02-14,856.012685
2019-02-15,797.438607
2019-02-16,711.242816
2019-02-17,676.335992
2019-02-18,741.686102
2019-02-19,761.602562
2019-02-20,747.917198
2019-02-21,708.097977
2019-02-22,684.646102
2019-02-23,687.275805
2019-02-24,708.233789
2019-02-25,730.101353
2019-02-26,674.846423
2019-02-27,630.210587
2019-02-28,656.121103
2019-03-01,677.595869
2019-03-02,615.763571
2019-03-03,605.870495
2019-03-04,690.070779
2019-03-05,700.897407
2019-03-06,671.528969
2019-03-07,684.932568
2019-03-08,685.228502
2019-03-09,623.611232
2019-03-10,665.244552
2019-03-11,773.563326
2019-03-12,800.899817
2019-03-13,799.123708
2019-03-14,755.528002
2019-03-15,676.994174
2019-03-16,615.470969
2019-03-17,637.044945
2019-03-18,736.441365
2019-03-19,723.541754
2019-03-20,687.427979
2019-03-21,632.441899
2019-03-22,578.285029
2019-03-23,533.636464
2019-03-24,528.192095
2019-03-25,622.946573
2019-03-26,659.876902
2019-03-27,647.444329
2019-03-28,612.623511
2019-03-29,541.246713
2019-03-30,449.722576
2019-03-31,478.765701
2019-04-01,525.420889
2019-04-02,551.114595
2019-04-03,624.05089
2019-04-04,655.957897
2019-04-05,615.259716
2019-04-06,521.168091
2019-04-07,486.512531
2019-04-08,508.376651
2019-04-09,530.258414
2019-04-10,571.954387
2019-04-11,613.30368
2019-04-12,656.783951
2019-04-13,651.167276
2019-04-14,665.436153
2019-04-15,604.827402
2019-04-16,540.56916
2019-04-17,457.652743
2019-04-18,389.967733
2019-04-19,325.508032
2019-04-20,270.600628
2019-04-21,245.507953
2019-04-22,246.528434
2019-04-23,294.159598
2019-04-24,303.80394
2019-04-25,327.369076
2019-04-26,355.674518
2019-04-27,396.332247
2019-04-28,431.655501
2019-04-29,457.005166
2019-04-30,423.835927
2019-05-01,372.322268
2019-05-02,407.046984
2019-05-03,452.105559
2019-05-04,485.268861
2019-05-05,523.536832
2019-05-06,563.750478
2019-05-07,509.000369
2019-05-08,497.993774
2019-05-09,470.422003
2019-05-10,424.078052
2019-05-11,381.780372
2019-05-12,387.400675
2019-05-13,410.0114
2019-05-14,396.974022
2019-05-15,394.834394
2019-05-16,379.076106
2019-05-17,370.12294
2019-05-18,313.071012
2019-05-19,295.05986
2019-05-20,325.483485
2019-05-21,318.453232
2019-05-22,301.587365
2019-05-23,283.849597
2019-05-24,242.782817
2019-05-25,229.165847
2019-05-26,224.876301
2019-05-27,266.857627
2019-05-28,302.476782
2019-05-29,311.315016
2019-05-30,264.674909
2019-05-31,234.577051
2019-06-01,192.249102
2019-06-02,176.048297
2019-06-03,214.431007
2019-06-04,226.310427
2019-06-05,231.837914
2019-06-06,234.054869
2019-06-07,240.835589
2019-06-08,226.465494
2019-06-09,209.494449
2019-06-10,241.987761
2019-06-11,279.698421
2019-06-12,285.68045
2019-06-13,280.208019
2019-06-14,245.606984
2019-06-15,219.836788
2019-06-16,196.332922
2019-06-17,218.376201
2019-06-18,193.597628
2019-06-19,217.698984
2019-06-20,215.452413
2019-06-21,212.591295
2019-06-22,177.883361
2019-06-23,168.623152
2019-06-24,201.844349
2019-06-25,199.728514
2019-06-26,200.675432
2019-06-27,193.266814
2019-06-28,184.495228
2019-06-29,152.961471
2019-06-30,145.151956
2019-07-01,184.249129
2019-07-02,197.549281
2019-07-03,204.562221
2019-07-04,204.140883
2019-07-05,187.213158
2019-07-06,155.152243
2019-07-07,158.40165
2019-07-08,209.65493
2019-07-09,213.167371
2019-07-10,213.162015
2019-07-11,207.815357
2019-07-12,195.156003
2019-07-13,168.127118
2019-07-14,168.739645
2019-07-15,209.607628
2019-07-16,206.851593
2019-07-17,199.876772
2019-07-18,198.124475
2019-07-19,191.239056
2019-07-20,154.365731
2019-07-21,151.440967
2019-07-22,177.347407
2019-07-23,173.275313
2019-07-24,169.139217
2019-07-25,160.963084
2019-07-26,160.837314
2019-07-27,143.961337
2019-07-28,142.918586
2019-07-29,171.060217
2019-07-30,172.569042
2019-07-31,181.463343
2019-08-01,181.324018
2019-08-02,175.462868
2019-08-03,149.751741
2019-08-04,144.272582
2019-08-05,167.453526
2019-08-06,170.310926
2019-08-07,174.640742
2019-08-08,176.084923
2019-08-09,161.039197
2019-08-10,148.163717
2019-08-11,147.706575
2019-08-12,185.230123
2019-08-13,195.618941
2019-08-14,196.527786
2019-08-15,171.293213
2019-08-16,180.616242
2019-08-17,157.891253
2019-08-18,155.08273
2019-08-19,191.235166
2019-08-20,200.80626
2019-08-21,197.600732
2019-08-22,197.102077
2019-08-23,180.688169
2019-08-24,154.428326
2019-08-25,145.108723
2019-08-26,172.283507
2019-08-27,183.648857
2019-08-28,186.178811
2019-08-29,188.392873
2019-08-30,185.750894
2019-08-31,158.330053
2019-09-01,170.122494
2019-09-02,212.61135
2019-09-03,217.341188
2019-09-04,224.220947
2019-09-05,241.427989
2019-09-06,248.081857
2019-09-07,227.520476
2019-09-08,232.580834
2019-09-09,284.574662
2019-09-10,278.058781
2019-09-11,268.403593
2019-09-12,247.126478
2019-09-13,236.568698
2019-09-14,201.464538
2019-09-15,199.243118
2019-09-16,245.903996
2019-09-17,264.1201
2019-09-18,287.468636
2019-09-19,295.804028
2019-09-20,285.777374
2019-09-21,232.497519
2019-09-22,216.983343
2019-09-23,254.456374
2019-09-24,265.187376
2019-09-25,268.75379
2019-09-26,263.196949
2019-09-27,267.131994
2019-09-28,250.188848
2019-09-29,258.225682
2019-09-30,296.625054
2019-10-01,304.698479
2019-10-02,364.295919
2019-10-03,412.228861
2019-10-04,409.1944
2019-10-05,370.347625
2019-10-06,380.106768
2019-10-07,431.242968
2019-10-08,401.570237
2019-10-09,424.419521
2019-10-10,407.68825
2019-10-11,377.57319
2019-10-12,332.1988
2019-10-13,305.195842
2019-10-14,353.50734
2019-10-15,359.518897
2019-10-16,384.232441
2019-10-17,390.491273
2019-10-18,401.215517
2019-10-19,373.298064
2019-10-20,390.279451
2019-10-21,434.810545
2019-10-22,444.135189
2019-10-23,431.377444
2019-10-24,416.044459
2019-10-25,425.853795
2019-10-26,385.753823
2019-10-27,431.440171
2019-10-28,540.509822
2019-10-29,580.288548
2019-10-30,624.720215
2019-10-31,648.674336
2019-11-01,569.306251
2019-11-02,493.242595
2019-11-03,497.608353
2019-11-04,551.321375
2019-11-05,581.779953
2019-11-06,637.116045
2019-11-07,674.296442
