date,column,livesheet,code,difference
2024-05-10,LDZ,227.51401609416382,202.08,25.43401609416381
2024-05-11,LDZ,188.6973650100648,204.72,16.0226349899352
2024-05-12,LDZ,179.95235543953478,177.72,2.2323554395347855
2024-05-13,LDZ,212.25216840844303,166.37,45.88216840844302
2024-05-14,LDZ,219.01113177661594,196.78,22.23113177661594
2024-05-15,LDZ,224.0837356141754,190.52,33.563735614175386
2024-05-16,LDZ,234.24594586076515,195.46,38.78594586076514
2024-05-17,LDZ,222.14910341663807,198.42,23.729103416638083
2024-05-18,LDZ,193.4646992534168,185.67,7.794699253416809
2024-05-19,LDZ,189.15372320471477,158.64,30.51372320471478
2024-05-20,LDZ,211.28435534038098,171.51,39.77435534038099
2024-05-21,LDZ,235.83386428293434,211.22,24.613864282934344
2024-05-22,LDZ,236.22600944528133,222.28,13.946009445281334
2024-05-23,LDZ,245.0172711437069,225.97,19.047271143706894
2024-05-24,LDZ,245.13249124639404,218.84,26.292491246394036
2024-05-25,LDZ,195.39129879090413,198.97,3.5787012090958683
2024-05-26,LDZ,192.38715003892779,171.92,20.467150038927798
2024-05-27,LDZ,225.9493402357072,162.12,63.82934023570721
2024-05-28,LDZ,238.95561437335988,179.04,59.91561437335989
2024-05-29,LDZ,231.0994811851084,178.52,52.57948118510839
2024-05-30,LDZ,233.0134438024491,174.5,58.5134438024491
2024-05-31,LDZ,242.1498476567857,169.37,72.7798476567857
2024-06-01,LDZ,207.24436556011815,160.89,46.35436556011817
2024-06-02,LDZ,196.09970543937237,136.03,60.06970543937237
2024-06-03,LDZ,226.90645296273607,135.34,91.56645296273607
2024-06-04,LDZ,219.78759832482635,155.56,64.22759832482635
2024-06-05,LDZ,229.29132222789374,152.37,76.92132222789374
2024-06-06,LDZ,231.90705757067127,147.24,84.66705757067126
2024-06-07,LDZ,215.04753176998796,146.35,68.69753176998796
2024-06-08,LDZ,184.9462835366994,144.92,40.026283536699424
2024-06-09,LDZ,193.85304721783993,124.22,69.63304721783993
2024-06-10,LDZ,241.50493364329637,127.21,114.29493364329637
2024-06-11,LDZ,256.00372411673663,163.57,92.43372411673664
2024-06-12,LDZ,263.34534285418164,169.04,94.30534285418165
2024-06-13,LDZ,250.9645181319006,183.31,67.6545181319006
2024-06-14,LDZ,230.8032658059329,173.97,56.83326580593291
2024-06-15,LDZ,199.10785191269443,165.74,33.36785191269442
2024-06-16,LDZ,187.51301999692248,138.1,49.413019996922486
2024-06-17,LDZ,211.20392803702725,143.93,67.27392803702725
2024-06-18,LDZ,208.24376637888776,162.91,45.33376637888776
2024-06-19,LDZ,206.29574047115,156.08,50.215740471149985
2024-06-20,LDZ,197.60728105856856,155.05,42.55728105856855
2024-06-21,LDZ,189.08617542781457,158.63,30.45617542781457
2024-06-22,LDZ,161.92375257326364,152.15,9.773752573263636
2024-06-23,LDZ,161.73334338957144,137.22,24.513343389571446
2024-06-24,LDZ,185.86249741421042,132.44,53.422497414210426
2024-06-25,LDZ,186.54262626096457,154.85,31.692626260964573
2024-06-26,LDZ,177.51251299851467,159.02,18.492512998514655
2024-06-27,LDZ,178.3701465580396,152.56,25.810146558039605
2024-06-28,LDZ,176.30200917949307,146.44,29.86200917949307
2024-06-29,LDZ,150.60109198635075,132.44,18.161091986350755
2024-06-30,LDZ,149.6166308711924,110.15,39.46663087119239
2024-07-01,LDZ,189.01640045492576,115.03,73.98640045492576
2024-07-02,LDZ,195.5953364448987,137.05,58.54533644489868
2024-07-03,LDZ,208.44047067823487,144.68,63.76047067823487
2024-07-04,LDZ,201.87928510387542,144.6,57.279285103875424
2024-07-05,LDZ,192.7158763809055,144.62,48.09587638090551
2024-07-06,LDZ,161.5008663378611,138.39,23.110866337861125
2024-07-07,LDZ,170.80451552532014,117.19,53.614515525320144
2024-07-08,LDZ,192.75212259534965,112.4,80.35212259534964
2024-07-09,LDZ,183.78583087656347,132.27,51.515830876563456
2024-07-10,LDZ,181.35023249794693,134.46,46.890232497946926
2024-07-11,LDZ,186.49357683054654,131.05,55.44357683054653
2024-07-12,LDZ,182.37735880015637,133.32,49.05735880015638
2024-07-13,LDZ,164.47083207659273,124.87,39.600832076592724
2024-07-14,LDZ,161.29668727878777,107.23,54.06668727878777
2024-07-15,LDZ,181.65044438484233,110.21,71.44044438484234
2024-07-16,LDZ,190.9323658456854,127.3,63.63236584568541
2024-07-17,LDZ,180.0154136065334,124.81,55.2054136065334
2024-07-18,LDZ,175.84817267484144,130.87,44.97817267484143
2024-07-19,LDZ,156.90508239226787,127.13,29.775082392267876
2024-07-20,LDZ,133.58530223474503,124.6,8.985302234745035
2024-07-21,LDZ,138.90375557011217,112.41,26.49375557011217
2024-07-22,LDZ,167.39003101914005,104.9,62.49003101914005
2024-07-23,LDZ,174.39061058940067,117.74,56.65061058940067
2024-07-24,LDZ,173.87105355797112,119.52,54.35105355797113
2024-07-25,LDZ,172.4661728426136,120.83,51.63617284261359
2024-07-26,LDZ,168.05855873871369,110.61,57.448558738713686
2024-07-27,LDZ,142.56857927527057,120.09,22.47857927527056
2024-07-28,LDZ,135.70997324838788,111.08,24.629973248387884
2024-07-29,LDZ,159.75094379595296,112.89,46.86094379595296
2024-07-30,LDZ,164.32186316779553,135.52,28.801863167795517
2024-07-31,LDZ,160.45969185123073,136.03,24.42969185123073
2024-08-01,LDZ,159.31782837214172,140.32,18.997828372141726
2024-08-02,LDZ,150.0619146082394,143.42,6.641914608239404
2024-08-03,LDZ,130.6183303328417,131.19,0.5716696671582895
2024-08-04,LDZ,130.33341346101165,121.0,9.333413461011645
