Date,Slovakia_to_Austria,Russia_Nord_Stream_to_Germany,Norway_to_Europe,Netherlands_Production,GB_Production,LNG_Import,Algeria_to_Italy,Libya_to_Italy,Spain_to_France,Denmark_to_Germany,Czech_and_Poland_to_Germany,Austria_to_Hungary_Export,Slovenia_to_Austria,MAB_to_Austria,TAP_to_Italy,Austria_Production,Italy_Production,Germany_Production,Total_Supply
2016-12-03,105.79,120.39,311.35,158.12,101.8,46.66,71.02,12.16,-10.23,0.0,154.69,-12.61,-7.25,-7.65,0.0,2.89,16.13,14.22,1077.49
2016-12-04,93.91,120.4,312.0,166.86,99.95,43.56,71.01,12.15,-10.49,0.0,155.18,-12.63,-7.42,-7.71,0.0,2.87,16.14,14.44,1070.22
2016-12-05,96.76,120.41,311.31,148.85,95.15,73.98,70.94,12.15,-10.4,0.0,152.07,-12.73,-7.9,-6.26,0.0,2.83,16.1,14.21,1077.46
2016-12-06,91.02,120.41,313.21,157.64,108.32,66.26,70.95,12.13,-10.72,0.0,153.57,-12.78,-8.03,-7.21,0.0,2.87,16.03,14.05,1087.73
2016-12-07,83.24,120.44,291.14,159.03,110.54,68.7,65.7,12.14,-11.36,-0.21,154.58,-12.85,-7.93,-0.9,0.0,2.97,15.87,14.14,1065.23
2016-12-08,78.32,120.41,303.4,169.98,104.39,62.55,68.34,12.15,-11.85,-1.29,156.48,-12.83,-8.09,-6.49,0.0,2.97,16.01,14.58,1069.04
2016-12-09,75.42,119.95,285.76,138.85,106.76,64.19,70.16,12.16,-11.82,0.0,150.0,-12.8,-8.03,-5.74,0.0,2.6,16.13,14.67,1018.25
2016-12-10,75.81,119.75,312.74,130.78,104.87,44.47,70.99,12.16,-11.86,0.0,160.95,-12.73,-7.59,-7.01,0.0,2.19,16.0,14.9,1026.43
2016-12-11,70.45,119.77,330.1,133.14,103.98,38.79,71.82,13.05,-10.76,0.0,155.89,-12.7,-7.46,-7.93,0.0,2.19,16.02,14.83,1031.18
2016-12-12,73.07,119.54,326.36,138.11,106.12,45.94,72.41,12.2,-10.76,0.0,154.62,-12.8,-7.87,-5.93,0.0,2.43,16.08,14.56,1044.09
2016-12-13,88.3,119.64,330.09,139.5,118.73,48.08,72.32,12.15,-14.98,0.0,152.23,-12.25,-7.5,-4.33,0.0,2.5,15.98,14.54,1075.01
2016-12-14,94.1,119.45,338.5,146.65,97.42,42.01,69.9,12.16,-14.85,-0.3,153.67,-10.94,-7.72,0.0,0.0,2.55,15.81,14.88,1073.28
2016-12-15,96.33,119.77,332.43,148.07,103.6,48.48,69.62,12.16,-14.33,-0.03,153.52,-12.92,-7.94,-0.28,0.0,2.51,16.11,14.96,1082.09
2016-12-16,98.66,119.46,336.55,145.69,108.03,45.15,64.59,12.17,-14.46,0.0,155.61,-12.81,-7.89,-0.74,0.0,2.56,16.12,14.97,1083.65
2016-12-17,102.88,120.13,323.24,130.6,108.47,27.51,69.64,12.16,-14.07,0.0,157.52,-12.8,-7.38,-5.45,0.0,2.58,15.99,14.94,1045.96
2016-12-18,100.88,119.61,321.76,144.6,110.24,23.63,70.66,12.16,-12.76,-0.97,158.04,-12.77,-7.53,-5.93,0.0,2.57,16.03,14.62,1054.85
2016-12-19,108.42,119.79,328.01,148.94,111.59,29.13,71.64,12.17,-12.99,0.0,156.28,-12.84,-7.77,-2.24,0.0,2.84,16.04,14.58,1083.59
2016-12-20,104.54,119.89,332.52,151.02,113.59,22.92,69.42,12.17,-12.07,0.0,154.84,-12.63,-8.2,-0.82,0.0,2.83,16.22,14.68,1080.92
2016-12-21,99.78,120.07,331.22,156.68,114.2,23.68,65.12,12.17,-12.91,0.0,154.37,-12.72,-8.34,-3.32,0.0,2.85,15.85,14.74,1073.42
2016-12-22,107.45,120.5,329.28,141.21,111.83,24.25,65.37,12.19,-13.72,0.0,151.15,-12.75,-8.59,-5.6,0.0,2.89,15.68,14.63,1055.79
2016-12-23,93.76,125.83,331.52,145.87,104.86,23.07,61.34,14.46,-12.48,0.37,158.23,-12.83,-8.36,-4.92,0.0,2.63,15.79,14.98,1054.12
2016-12-24,82.63,130.03,327.42,136.68,104.95,22.43,70.03,12.18,-11.78,0.98,164.23,-12.83,-7.64,-9.07,0.0,2.61,15.72,14.98,1043.56
2016-12-25,69.69,133.43,312.89,129.78,107.52,20.75,70.3,12.14,-12.48,0.92,164.88,-13.04,-7.6,-9.19,0.0,2.61,15.6,14.87,1013.06
2016-12-26,79.85,137.1,282.07,128.92,114.18,23.77,67.64,12.13,-12.83,1.04,165.77,-12.96,-7.35,-8.99,0.0,2.61,15.53,14.86,1003.34
2016-12-27,85.87,142.59,323.72,136.56,120.66,25.23,65.57,12.13,-11.95,0.86,160.84,-13.02,-7.62,-8.95,0.0,2.85,15.6,14.88,1065.82
2016-12-28,84.74,144.0,322.98,147.36,112.1,22.78,66.15,12.13,-12.24,-0.48,160.55,-12.84,-7.53,-5.41,0.0,3.0,15.5,15.18,1067.99
2016-12-29,85.27,142.94,330.75,158.62,119.3,30.06,70.95,12.13,-10.71,-1.82,160.53,-12.57,-7.45,-6.25,0.0,2.98,15.73,15.27,1105.72
2016-12-30,92.0,143.04,324.44,160.95,117.68,23.64,71.43,12.13,-10.9,0.82,156.88,-12.78,-7.38,-7.16,0.0,2.69,15.72,15.53,1098.72
2016-12-31,95.5,129.04,327.42,169.86,117.58,26.12,72.53,12.96,-9.81,3.02,153.7,-12.6,-7.37,-7.25,0.0,2.63,15.76,15.31,1104.4
2017-01-01,97.0,151.99,332.51,172.43,118.97,24.54,71.31,12.36,-9.87,2.15,155.35,-10.13,-7.76,-5.71,0.0,2.57,15.24,16.83,1139.78
2017-01-02,99.28,154.25,328.14,171.45,122.07,43.21,67.53,12.49,-10.72,1.98,155.7,-10.19,-7.84,-5.82,0.0,2.8,15.26,16.51,1156.07
2017-01-03,104.98,156.03,322.96,170.72,118.24,34.37,62.32,15.86,-14.78,0.8,156.92,-10.28,-8.26,-5.46,0.0,2.89,15.31,16.25,1138.87
2017-01-04,112.93,158.0,338.37,166.28,131.83,39.91,60.79,13.06,-16.23,-1.62,156.91,-10.31,-8.39,-6.81,0.0,2.52,15.34,15.86,1168.44
2017-01-05,114.52,157.07,329.71,158.26,141.76,30.02,57.97,13.99,-15.18,-5.13,156.36,-10.5,-8.57,-4.24,0.0,2.87,15.16,16.4,1150.46
2017-01-06,120.77,157.34,336.96,172.68,139.38,29.27,67.38,13.0,-13.55,-4.43,158.35,-10.67,-8.85,-4.87,0.0,2.81,14.72,16.35,1186.62
2017-01-07,123.77,156.44,338.04,160.44,127.71,26.73,61.94,15.0,-13.99,-2.31,155.87,-10.65,-8.7,-5.13,0.0,3.07,12.93,16.2,1157.37
2017-01-08,129.39,157.15,334.65,166.05,119.47,28.2,59.34,9.49,-16.51,-2.35,158.23,-10.62,-8.82,-5.03,0.0,3.16,13.97,16.15,1151.93
2017-01-09,128.92,157.94,337.02,158.61,126.02,40.72,54.65,17.47,-16.85,-2.16,156.83,-10.56,-8.36,-4.34,0.0,3.15,14.57,16.06,1169.7
2017-01-10,123.97,159.22,340.32,159.01,127.02,39.02,55.58,16.46,-17.05,-1.76,157.21,-10.32,-10.28,-2.84,0.0,3.19,15.0,16.23,1169.98
2017-01-11,127.92,160.07,341.6,158.43,114.81,38.93,50.92,15.97,-18.05,-1.94,153.8,-10.39,-9.8,-5.11,0.0,3.15,14.93,16.17,1151.41
2017-01-12,128.28,159.73,362.21,153.92,138.68,41.98,67.91,15.99,-14.94,-1.97,155.2,-10.31,-9.21,-7.68,0.0,3.2,15.03,16.31,1214.33
2017-01-13,124.45,159.13,325.3,170.94,131.81,26.79,71.3,15.98,-13.23,-2.77,155.3,-10.25,-9.06,-7.36,0.0,3.27,14.99,16.31,1172.88
2017-01-14,123.68,159.52,351.18,170.88,116.4,31.76,70.72,14.99,-10.63,-2.3,155.39,-10.22,-8.56,-6.87,0.0,3.05,14.95,16.55,1190.49
2017-01-15,122.68,159.44,358.34,173.91,116.61,31.28,71.59,19.03,-10.26,-2.3,155.68,-10.12,-8.56,-6.46,0.0,2.8,15.12,16.23,1205.01
2017-01-16,121.56,159.15,360.96,169.14,127.65,28.61,66.84,17.09,-10.85,-2.43,154.98,-10.12,-8.89,0.0,0.0,2.83,14.84,15.89,1207.27
2017-01-17,128.5,159.52,356.27,171.87,119.89,27.15,59.54,19.6,-11.13,-2.05,154.94,-10.27,-8.81,-3.84,0.0,2.67,14.96,14.94,1193.76
2017-01-18,128.12,159.54,360.18,170.55,137.39,33.1,54.06,21.09,-11.32,-0.27,157.17,-10.39,-8.86,-2.29,0.0,2.77,14.63,14.7,1220.19
2017-01-19,130.18,159.78,367.99,178.53,119.63,29.68,53.38,22.92,-13.46,-1.7,153.68,-10.36,-9.02,2.28,0.0,2.72,14.41,15.22,1215.85
2017-01-20,127.22,159.76,350.44,177.59,120.31,38.52,70.57,17.08,-13.24,0.0,153.95,-10.37,-8.96,-5.69,0.0,2.71,14.6,14.93,1209.43
2017-01-21,124.53,157.75,349.48,167.41,124.23,37.36,69.61,16.59,-12.49,1.59,154.95,-10.06,-8.88,-4.89,0.0,2.68,15.07,17.0,1201.93
2017-01-22,122.12,159.23,354.97,173.41,130.28,39.53,71.02,15.57,-11.16,0.86,154.13,-9.95,-8.95,-4.64,0.0,2.51,15.1,16.27,1220.3
2017-01-23,126.48,159.46,350.15,167.75,137.37,43.01,71.59,13.58,-12.37,0.0,155.02,-9.75,-9.38,-2.67,0.0,2.37,15.07,15.3,1222.97
2017-01-24,131.31,159.48,340.94,153.41,134.26,45.93,70.65,10.56,-12.5,0.0,155.37,-9.88,-9.05,-2.62,0.0,2.56,15.12,15.85,1201.39
2017-01-25,129.43,159.5,352.42,166.17,133.38,46.29,71.2,12.22,-11.53,0.0,155.62,-10.1,-9.5,-3.43,0.0,2.71,15.07,15.73,1225.18
2017-01-26,132.99,157.55,346.55,167.9,134.04,47.49,71.03,13.12,-11.34,0.0,155.57,-10.56,-9.45,-2.35,0.0,2.69,15.14,14.89,1225.26
2017-01-27,130.45,159.42,349.95,151.52,134.88,45.5,71.09,12.17,-11.71,0.0,155.87,-10.54,-9.19,-5.03,0.0,2.7,15.23,15.89,1208.18
2017-01-28,126.96,159.47,354.04,159.4,129.61,39.63,69.02,12.14,-14.3,-1.62,153.11,-10.52,-8.69,-6.16,0.0,2.67,15.03,16.19,1195.99
2017-01-29,122.54,159.5,351.71,163.8,125.76,36.08,69.87,12.13,-14.51,-1.2,153.92,-10.42,-8.74,-6.02,0.0,2.63,15.15,16.15,1188.34
2017-01-30,128.95,159.46,356.93,153.64,124.8,45.57,70.67,12.14,-15.0,-0.82,154.39,-11.02,-9.31,-4.24,0.0,2.6,15.12,15.85,1199.72
2017-01-31,130.7,159.51,356.22,167.21,132.55,34.02,66.38,9.96,-15.09,-1.4,155.58,-11.64,-9.02,-4.82,0.0,2.56,15.29,15.17,1203.17
2017-02-01,112.83,125.64,355.24,161.57,120.13,37.94,66.57,10.96,-13.78,-0.03,154.81,-12.96,-8.92,-1.55,0.0,2.5,15.62,16.22,1142.79
2017-02-02,112.77,125.5,350.13,160.39,112.66,32.05,60.57,12.14,-8.63,1.31,151.9,-13.55,-8.23,-2.9,0.0,2.53,15.74,16.44,1120.79
2017-02-03,107.57,125.47,335.15,158.52,118.31,27.95,71.95,11.46,-8.76,2.5,153.82,-11.22,-7.46,-5.7,0.0,2.44,15.55,16.25,1113.8
2017-02-04,106.66,125.47,348.12,143.38,116.96,24.73,71.19,9.97,-8.81,2.7,152.75,-9.02,-7.36,-6.94,0.0,2.18,15.7,16.2,1103.87
2017-02-05,109.13,125.52,350.53,147.46,121.51,24.79,71.46,9.98,-8.42,2.71,150.77,-10.7,-7.2,-7.29,0.0,2.45,15.81,16.26,1114.79
2017-02-06,111.93,125.49,351.43,164.57,114.78,39.04,71.28,12.97,-9.63,2.87,150.75,-11.14,-7.62,-5.99,0.0,2.66,15.84,15.61,1144.84
2017-02-07,113.47,125.52,351.05,169.32,121.64,36.08,71.09,12.13,-9.47,0.5,152.34,-11.24,-8.02,-6.07,0.0,2.7,15.86,15.52,1152.42
2017-02-08,109.66,127.44,352.09,174.61,123.48,41.55,70.69,12.14,-9.57,0.56,152.1,-11.24,-7.93,-4.7,0.0,2.68,15.71,14.64,1163.91
2017-02-09,107.97,125.51,347.57,170.03,125.56,40.94,70.58,12.16,-9.41,0.58,151.83,-11.21,-8.32,-5.19,0.0,2.54,15.57,14.54,1151.26
2017-02-10,113.56,125.54,343.39,172.13,124.48,37.75,70.3,12.24,-9.32,0.0,150.98,-11.22,-8.45,-4.15,0.0,2.54,15.73,14.65,1150.15
2017-02-11,100.77,123.51,338.34,163.45,124.21,46.77,69.95,12.31,-9.65,1.66,149.74,-11.1,-8.07,-7.69,0.0,2.54,15.81,14.5,1127.06
2017-02-12,90.5,125.5,329.27,160.41,124.01,47.41,70.05,12.24,-9.52,2.27,150.68,-11.11,-7.68,-8.34,0.0,2.54,15.79,14.53,1108.53
2017-02-13,96.58,125.52,328.49,164.66,112.69,55.9,69.99,10.97,-10.0,2.19,151.1,-11.1,-8.33,-5.95,0.0,2.56,15.78,14.23,1115.28
2017-02-14,98.37,125.52,332.3,162.99,119.34,51.11,70.75,12.15,-9.36,3.64,150.63,-11.21,-8.63,-6.52,0.0,2.58,15.65,14.35,1123.68
2017-02-15,104.32,125.49,316.24,137.53,106.25,50.6,70.28,12.98,-9.97,2.87,151.02,-11.36,-8.36,-6.94,0.0,2.58,15.67,14.57,1073.76
2017-02-16,107.89,125.51,297.53,139.89,107.2,49.26,70.55,12.98,-9.29,3.56,150.33,-11.47,-8.38,-6.86,0.0,2.63,15.64,14.65,1061.61
