Date,France_LDZ,Belgium_LDZ,Italy_LDZ,Italy_Other,Netherlands_LDZ,GB_LDZ,Austria_LDZ,Germany_LDZ,Switzerland_LDZ,Luxembourg_LDZ,Ireland_LDZ,Total_LDZ_Demand
2017-01-29,136.336395,38.482051,181.614721,-0.856517,83.204459,223.92,46.184498,208.560057,16.792055,3.203542,9.9,947.341261
2017-01-30,154.990858,41.105412,202.967535,-4.35725,88.848726,222.29,52.774491,196.732705,17.135182,3.322087,8.79,984.599747
2017-01-31,121.617656,45.045044,194.453535,0.104909,93.076722,219.8,50.065403,192.134437,14.892575,3.286178,9.66,944.13646
2017-02-01,117.632105,40.580867,182.123275,1.861689,92.888813,194.0,48.693586,193.251891,13.611486,3.387542,7.07,895.101254
2017-02-02,114.125718,33.090238,172.735821,2.567906,69.154474,187.84,45.739953,176.392636,14.257294,3.009179,5.25,824.163219
2017-02-03,121.73531,31.738058,159.591526,2.154625,66.712931,198.34,42.659956,164.041557,13.531631,2.998815,10.79,814.29441
2017-02-04,118.694759,34.606419,145.332395,-0.914226,73.761105,204.33,35.906326,160.25747,13.612613,3.018997,9.28,797.885859
2017-02-05,123.852854,35.434872,148.742391,-2.291898,74.838741,220.32,31.626331,165.301738,15.074712,3.024361,9.28,825.204101
2017-02-06,138.157557,38.285869,168.892671,-0.930144,85.269912,244.46,38.72996,180.317086,15.590684,3.012179,9.07,920.855773
2017-02-07,134.524924,39.671141,159.213844,0.300291,99.286443,220.86,41.561775,198.435158,15.860447,3.31636,12.63,925.660383
2017-02-08,144.900532,43.669682,169.460715,-0.854545,112.523338,241.87,41.681775,214.536051,15.788084,3.240451,10.78,997.596083
2017-02-09,156.499756,48.488041,177.506353,-1.642507,122.064419,266.99,42.759047,232.431032,17.094819,3.689087,10.59,1076.470045
2017-02-10,160.387716,52.089401,177.257998,-0.082764,123.791235,272.3,43.35541,233.104031,16.425283,3.584633,15.12,1097.332943
2017-02-11,159.359299,47.631951,154.56064,1.190381,111.713339,264.66,36.215417,220.431954,14.34884,3.431996,9.73,1023.273815
2017-02-12,137.019558,43.672046,143.515633,-1.004581,104.080619,256.64,37.621779,216.536958,14.166158,3.020724,7.67,962.938895
2017-02-13,134.284325,43.823773,165.533347,1.382608,101.452077,240.37,43.5945,214.042324,16.688055,3.493542,6.72,971.38455
2017-02-14,123.3265,38.221324,158.874872,0.68469,89.733907,227.91,39.682686,209.798146,15.758475,3.432451,9.93,917.353051
2017-02-15,109.876268,33.308875,155.573012,0.822645,72.05538,199.47,38.21087,195.200252,15.339484,3.171179,7.51,830.537963
2017-02-16,111.848702,32.936784,148.648573,0.298009,75.516649,196.06,40.419049,170.508642,13.634004,2.998361,9.75,802.618773
2017-02-17,115.114481,33.953601,144.487878,2.001607,75.333922,180.07,38.538142,158.744017,13.406859,2.958633,8.96,773.56914
2017-02-18,113.124274,30.150696,133.120162,0.003036,71.199381,172.11,30.600877,155.586293,13.644895,2.941451,6.8,729.281066
2017-02-19,112.342402,32.962239,137.225476,0.3781,72.848743,168.46,32.812693,157.597291,13.32945,2.850815,5.67,736.477209
