Date,Total_Gas_to_Power_Demand
2018-12-27,220.54
2018-12-28,209.29
2018-12-29,162.2
2018-12-30,163.68
2018-12-31,155.18
2019-01-01,142.33
2019-01-02,234.01
2019-01-03,265.34
2019-01-04,266.5
2019-01-05,226.4
2019-01-06,221.44
2019-01-07,239.65
2019-01-08,236.25
2019-01-09,269.58
2019-01-10,305.86
2019-01-11,279.57
2019-01-12,170.26
2019-01-13,131.92
2019-01-14,244.61
2019-01-15,249.16
2019-01-16,259.41
2019-01-17,271.39
2019-01-18,290.87
2019-01-19,264.66
2019-01-20,255.47
2019-01-21,311.64
2019-01-22,317.66
2019-01-23,338.17
2019-01-24,340.93
2019-01-25,276.5
2019-01-26,183.34
2019-01-27,145.09
2019-01-28,263.52
2019-01-29,296.36
2019-01-30,302.41
2019-01-31,284.2
2019-02-01,267.68
2019-02-02,218.78
2019-02-03,192.21
2019-02-04,269.82
2019-02-05,268.41
2019-02-06,259.72
2019-02-07,222.13
2019-02-08,192.88
2019-02-09,142.02
2019-02-10,144.39
2019-02-11,247.36
2019-02-12,233.43
2019-02-13,231.68
2019-02-14,247.75
2019-02-15,223.12
2019-02-16,158.39
2019-02-17,123.27
2019-02-18,217.33
2019-02-19,227.69
2019-02-20,232.21
2019-02-21,234.73
2019-02-22,216.61
2019-02-23,146.77
2019-02-24,155.14
2019-02-25,245.23
2019-02-26,245.43
2019-02-27,238.59
2019-02-28,209.55
2019-03-01,232.4
2019-03-02,143.76
2019-03-03,133.53
2019-03-04,168.84
2019-03-05,200.08
2019-03-06,180.49
2019-03-07,170.09
2019-03-08,188.66
2019-03-09,127.87
2019-03-10,120.48
2019-03-11,166.47
2019-03-12,175.45
2019-03-13,171.72
2019-03-14,170.4
2019-03-15,165.08
2019-03-16,126.85
2019-03-17,127.25
2019-03-18,236.07
2019-03-19,262.25
2019-03-20,239.2
2019-03-21,238.15
2019-03-22,211.65
2019-03-23,163.61
2019-03-24,121.68
2019-03-25,178.32
2019-03-26,207.98
2019-03-27,238.52
2019-03-28,230.21
2019-03-29,211.09
2019-03-30,145.72
2019-03-31,124.92
2019-04-01,205.56
2019-04-02,217.37
2019-04-03,245.97
2019-04-04,234.11
2019-04-05,226.64
2019-04-06,166.82
2019-04-07,142.78
2019-04-08,212.11
2019-04-09,207.05
2019-04-10,215.48
2019-04-11,230.8
2019-04-12,235.73
2019-04-13,160.25
2019-04-14,137.7
2019-04-15,172.69
2019-04-16,220.8
2019-04-17,210.24
2019-04-18,167.72
2019-04-19,148.07
2019-04-20,134.52
2019-04-21,108.0
2019-04-22,106.3
2019-04-23,155.59
2019-04-24,161.16
2019-04-25,155.48
2019-04-26,152.99
2019-04-27,98.91
2019-04-28,137.13
2019-04-29,208.06
2019-04-30,210.3
2019-05-01,155.83
2019-05-02,193.96
2019-05-03,199.98
2019-05-04,122.45
2019-05-05,123.26
2019-05-06,198.72
2019-05-07,220.32
2019-05-08,186.48
2019-05-09,218.78
2019-05-10,216.04
2019-05-11,134.72
2019-05-12,125.52
2019-05-13,185.41
2019-05-14,192.01
2019-05-15,197.41
2019-05-16,185.57
2019-05-17,196.54
2019-05-18,153.76
2019-05-19,136.34
2019-05-20,203.21
2019-05-21,192.91
2019-05-22,186.2
2019-05-23,178.61
2019-05-24,179.03
2019-05-25,135.15
2019-05-26,84.6
2019-05-27,154.61
2019-05-28,187.88
2019-05-29,176.68
2019-05-30,120.09
2019-05-31,104.35
2019-06-01,114.36
2019-06-02,91.61
2019-06-03,171.17
2019-06-04,199.64
2019-06-05,190.83
2019-06-06,181.09
2019-06-07,164.02
2019-06-08,105.05
2019-06-09,135.45
2019-06-10,177.6
2019-06-11,205.08
2019-06-12,212.48
2019-06-13,204.85
2019-06-14,204.15
2019-06-15,143.93
2019-06-16,127.33
2019-06-17,203.36
2019-06-18,236.1
2019-06-19,245.09
2019-06-20,224.43
2019-06-21,235.19
2019-06-22,159.72
2019-06-23,128.64
2019-06-24,218.08
2019-06-25,234.86
2019-06-26,231.14
2019-06-27,225.36
2019-06-28,227.33
2019-06-29,168.53
2019-06-30,122.96
2019-07-01,209.07
2019-07-02,234.32
2019-07-03,237.18
2019-07-04,224.57
2019-07-05,228.96
2019-07-06,161.4
2019-07-07,148.58
2019-07-08,241.84
2019-07-09,253.67
2019-07-10,245.91
2019-07-11,253.86
2019-07-12,236.1
2019-07-13,162.31
2019-07-14,144.32
2019-07-15,234.15
2019-07-16,233.42
2019-07-17,241.62
2019-07-18,247.62
2019-07-19,240.84
2019-07-20,161.14
2019-07-21,144.28
2019-07-22,223.93
2019-07-23,255.28
2019-07-24,272.11
2019-07-25,271.09
2019-07-26,258.82
2019-07-27,193.15
2019-07-28,155.07
2019-07-29,236.79
2019-07-30,225.53
2019-07-31,231.6
2019-08-01,252.86
2019-08-02,237.27
2019-08-03,186.22
2019-08-04,161.32
2019-08-05,210.92
2019-08-06,212.97
2019-08-07,206.51
2019-08-08,213.32
2019-08-09,187.11
2019-08-10,117.03
2019-08-11,121.69
2019-08-12,205.7
2019-08-13,200.69
2019-08-14,174.22
2019-08-15,128.84
2019-08-16,145.95
2019-08-17,113.17
2019-08-18,112.42
2019-08-19,177.87
2019-08-20,219.89
2019-08-21,203.67
2019-08-22,186.26
2019-08-23,192.68
2019-08-24,166.95
2019-08-25,169.43
2019-08-26,238.97
2019-08-27,259.39
2019-08-28,255.46
2019-08-29,230.03
2019-08-30,220.01
2019-08-31,168.95
2019-09-01,161.85
2019-09-02,214.79
2019-09-03,217.24
2019-09-04,206.05
2019-09-05,210.89
2019-09-06,205.18
2019-09-07,183.42
2019-09-08,174.56
2019-09-09,241.53
2019-09-10,228.35
2019-09-11,199.47
2019-09-12,209.17
2019-09-13,220.09
2019-09-14,157.53
2019-09-15,146.73
2019-09-16,240.53
2019-09-17,227.66
2019-09-18,247.18
2019-09-19,255.99
2019-09-20,217.75
2019-09-21,151.25
2019-09-22,157.75
2019-09-23,233.15
2019-09-24,243.66
2019-09-25,238.91
2019-09-26,221.02
2019-09-27,203.55
2019-09-28,131.38
2019-09-29,123.41
2019-09-30,210.99
2019-10-01,232.6
2019-10-02,234.85
2019-10-03,227.93
2019-10-04,215.78
2019-10-05,175.19
2019-10-06,149.9
2019-10-07,219.3
2019-10-08,206.3
2019-10-09,206.31
2019-10-10,202.94
2019-10-11,186.18
2019-10-12,184.98
2019-10-13,167.73
2019-10-14,251.57
2019-10-15,258.38
2019-10-16,248.69
2019-10-17,261.22
2019-10-18,237.42
2019-10-19,191.85
2019-10-20,190.56
2019-10-21,274.1
2019-10-22,271.42
2019-10-23,260.34
2019-10-24,250.4
2019-10-25,223.31
2019-10-26,143.92
2019-10-27,168.14
2019-10-28,276.42
2019-10-29,284.99
2019-10-30,279.81
2019-10-31,270.03
2019-11-01,189.89
2019-11-02,133.57
2019-11-03,145.09
2019-11-04,215.84
2019-11-05,252.47
2019-11-06,273.88
2019-11-07,239.09
2019-11-08,250.13
2019-11-09,190.18
2019-11-10,186.31
2019-11-11,204.53
2019-11-12,220.03
2019-11-13,254.48
2019-11-14,262.73
2019-11-15,243.72
2019-11-16,225.96
2019-11-17,200.45
2019-11-18,267.0
2019-11-19,285.34
2019-11-20,273.7
2019-11-21,264.89
2019-11-22,228.34
2019-11-23,165.89
2019-11-24,177.17
2019-11-25,249.99
2019-11-26,228.58
2019-11-27,197.01
2019-11-28,194.45
2019-11-29,225.42
2019-11-30,201.19
2019-12-01,191.96
2019-12-02,264.74
2019-12-03,272.18
2019-12-04,267.58
2019-12-05,256.18
2019-12-06,205.02
2019-12-07,151.08
2019-12-08,105.32
2019-12-09,208.15
