Date,Total_Gas_to_Power_Demand
2018-05-14,117.1
2018-05-15,125.89
2018-05-16,129.71
2018-05-17,133.7
2018-05-18,141.11
2018-05-19,93.66
2018-05-20,86.04
2018-05-21,124.2
2018-05-22,136.71
2018-05-23,131.13
2018-05-24,134.55
2018-05-25,123.14
2018-05-26,73.65
2018-05-27,79.42
2018-05-28,126.11
2018-05-29,134.29
2018-05-30,163.58
2018-05-31,152.27
2018-06-01,145.16
2018-06-02,107.52
2018-06-03,103.63
2018-06-04,136.59
2018-06-05,141.09
2018-06-06,153.64
2018-06-07,160.0
2018-06-08,155.79
2018-06-09,104.45
2018-06-10,99.43
2018-06-11,154.05
2018-06-12,157.95
2018-06-13,137.55
2018-06-14,124.27
2018-06-15,132.82
2018-06-16,88.67
2018-06-17,82.41
2018-06-18,109.87
2018-06-19,148.7
2018-06-20,145.21
2018-06-21,134.53
2018-06-22,133.4
2018-06-23,96.9
2018-06-24,101.47
2018-06-25,157.42
2018-06-26,160.59
2018-06-27,154.11
2018-06-28,159.24
2018-06-29,140.31
2018-06-30,99.92
2018-07-01,93.3
2018-07-02,160.59
2018-07-03,183.08
2018-07-04,192.64
2018-07-05,185.62
2018-07-06,149.28
2018-07-07,110.31
2018-07-08,104.36
2018-07-09,169.73
2018-07-10,175.81
2018-07-11,184.8
2018-07-12,187.92
2018-07-13,190.57
2018-07-14,132.49
2018-07-15,116.59
2018-07-16,187.44
2018-07-17,186.88
2018-07-18,190.89
2018-07-19,189.05
2018-07-20,182.67
2018-07-21,133.25
2018-07-22,111.68
2018-07-23,179.14
2018-07-24,197.4
2018-07-25,196.16
2018-07-26,192.98
2018-07-27,179.74
2018-07-28,99.53
2018-07-29,95.4
2018-07-30,167.38
2018-07-31,183.94
2018-08-01,179.85
2018-08-02,189.36
2018-08-03,190.04
2018-08-04,138.47
2018-08-05,133.05
2018-08-06,194.92
2018-08-07,196.67
2018-08-08,176.66
2018-08-09,163.46
2018-08-10,133.13
2018-08-11,109.8
2018-08-12,115.04
2018-08-13,162.07
2018-08-14,144.14
2018-08-15,122.07
2018-08-16,136.55
2018-08-17,140.49
2018-08-18,113.34
2018-08-19,103.52
2018-08-20,169.94
2018-08-21,193.2
2018-08-22,171.72
2018-08-23,152.19
2018-08-24,128.29
2018-08-25,107.75
2018-08-26,76.37
2018-08-27,132.85
2018-08-28,163.5
2018-08-29,171.0
2018-08-30,188.08
2018-08-31,172.22
2018-09-01,117.83
2018-09-02,100.0
2018-09-03,186.56
2018-09-04,189.41
2018-09-05,188.79
2018-09-06,191.54
2018-09-07,152.74
2018-09-08,111.65
2018-09-09,94.62
2018-09-10,157.15
2018-09-11,146.29
2018-09-12,173.67
2018-09-13,185.39
2018-09-14,168.31
2018-09-15,120.95
2018-09-16,105.17
2018-09-17,176.44
2018-09-18,158.73
2018-09-19,156.95
2018-09-20,171.54
2018-09-21,135.46
2018-09-22,134.46
2018-09-23,102.39
2018-09-24,153.22
2018-09-25,136.36
2018-09-26,135.34
2018-09-27,146.54
2018-09-28,157.49
2018-09-29,115.01
2018-09-30,100.94
2018-10-01,158.39
2018-10-02,154.79
2018-10-03,164.01
2018-10-04,181.58
2018-10-05,179.69
2018-10-06,129.96
2018-10-07,114.02
2018-10-08,180.57
2018-10-09,195.06
2018-10-10,181.65
2018-10-11,178.44
2018-10-12,163.57
2018-10-13,119.81
2018-10-14,124.33
2018-10-15,205.71
2018-10-16,209.97
2018-10-17,221.15
2018-10-18,211.81
2018-10-19,210.26
2018-10-20,153.42
2018-10-21,121.87
2018-10-22,172.76
2018-10-23,159.72
2018-10-24,189.35
2018-10-25,195.95
2018-10-26,184.6
2018-10-27,142.87
2018-10-28,134.42
2018-10-29,203.6
2018-10-30,210.97
2018-10-31,203.42
2018-11-01,176.71
2018-11-02,189.01
2018-11-03,147.57
2018-11-04,151.48
2018-11-05,218.02
2018-11-06,192.0
2018-11-07,194.9
2018-11-08,202.93
2018-11-09,174.95
2018-11-10,129.73
2018-11-11,115.8
2018-11-12,188.97
2018-11-13,189.83
2018-11-14,191.02
2018-11-15,217.15
2018-11-16,199.55
2018-11-17,125.19
2018-11-18,124.6
2018-11-19,204.75
2018-11-20,225.04
2018-11-21,250.11
2018-11-22,267.54
2018-11-23,264.36
2018-11-24,202.88
2018-11-25,169.13
2018-11-26,257.51
2018-11-27,232.33
2018-11-28,179.54
2018-11-29,175.65
2018-11-30,196.46
2018-12-01,171.35
2018-12-02,129.15
2018-12-03,199.11
2018-12-04,227.05
2018-12-05,221.93
2018-12-06,196.28
2018-12-07,155.52
2018-12-08,96.73
2018-12-09,106.97
2018-12-10,219.43
2018-12-11,242.24
2018-12-12,247.09
2018-12-13,241.89
2018-12-14,248.05
2018-12-15,166.7
2018-12-16,167.46
2018-12-17,217.58
2018-12-18,208.03
2018-12-19,216.24
2018-12-20,205.15
2018-12-21,160.64
2018-12-22,125.85
2018-12-23,142.65
2018-12-24,144.52
2018-12-25,115.8
2018-12-26,138.45
2018-12-27,195.66
2018-12-28,183.22
2018-12-29,142.35
2018-12-30,140.26
2018-12-31,132.51
2019-01-01,120.5
2019-01-02,208.87
2019-01-03,236.85
2019-01-04,239.49
2019-01-05,203.3
2019-01-06,197.14
2019-01-07,213.38
2019-01-08,215.43
2019-01-09,246.13
2019-01-10,277.11
2019-01-11,253.43
2019-01-12,150.19
2019-01-13,118.22
2019-01-14,222.42
2019-01-15,224.15
2019-01-16,236.57
2019-01-17,245.68
2019-01-18,261.18
2019-01-19,236.95
2019-01-20,227.71
2019-01-21,281.69
2019-01-22,288.48
2019-01-23,306.72
2019-01-24,306.96
2019-01-25,244.48
2019-01-26,159.96
2019-01-27,129.58
2019-01-28,237.69
2019-01-29,266.09
2019-01-30,271.13
2019-01-31,251.19
2019-02-01,236.1
2019-02-02,189.45
2019-02-03,169.51
2019-02-04,244.03
2019-02-05,236.95
2019-02-06,227.78
2019-02-07,195.97
2019-02-08,168.31
2019-02-09,122.02
2019-02-10,122.84
2019-02-11,215.92
2019-02-12,201.11
2019-02-13,201.67
2019-02-14,215.36
2019-02-15,190.37
2019-02-16,134.51
2019-02-17,106.65
2019-02-18,190.06
2019-02-19,203.56
2019-02-20,205.74
2019-02-21,206.46
2019-02-22,184.18
2019-02-23,125.96
2019-02-24,136.49
2019-02-25,213.56
2019-02-26,212.8
2019-02-27,206.08
2019-02-28,185.44
2019-03-01,200.88
2019-03-02,118.53
2019-03-03,114.56
2019-03-04,148.18
2019-03-05,173.31
2019-03-06,156.16
2019-03-07,146.32
2019-03-08,161.27
2019-03-09,113.62
2019-03-10,105.54
2019-03-11,146.99
2019-03-12,149.59
2019-03-13,149.43
2019-03-14,147.18
2019-03-15,145.01
2019-03-16,113.05
2019-03-17,111.64
2019-03-18,209.99
2019-03-19,229.03
2019-03-20,206.83
2019-03-21,205.28
2019-03-22,179.19
2019-03-23,138.97
2019-03-24,104.16
2019-03-25,158.94
2019-03-26,181.14
2019-03-27,208.17
2019-03-28,198.76
2019-03-29,181.61
2019-03-30,125.42
2019-03-31,112.18
2019-04-01,185.08
2019-04-02,195.05
2019-04-03,220.15
2019-04-04,207.49
2019-04-05,200.24
2019-04-06,149.34
2019-04-07,131.97
2019-04-08,194.29
2019-04-09,189.4
2019-04-10,197.45
2019-04-11,213.96
2019-04-12,212.93
2019-04-13,140.97
2019-04-14,124.11
2019-04-15,153.09
2019-04-16,199.55
2019-04-17,186.53
2019-04-18,148.76
2019-04-19,130.42
2019-04-20,118.67
2019-04-21,94.41
2019-04-22,93.6
2019-04-23,135.94
2019-04-24,140.93
2019-04-25,133.6
2019-04-26,130.49
2019-04-27,90.54
2019-04-28,124.6
2019-04-29,183.4
2019-04-30,182.37
2019-05-01,138.23
2019-05-02,168.4
2019-05-03,171.09
2019-05-04,107.53
2019-05-05,112.76
2019-05-06,172.78
2019-05-07,190.05
