Date,Total_Industrial_Demand
2018-04-05,280.20897
2018-04-06,272.944898
2018-04-07,232.867109
2018-04-08,221.019547
2018-04-09,251.692714
2018-04-10,270.887666
2018-04-11,270.803496
2018-04-12,259.83688
2018-04-13,256.756527
2018-04-14,221.416705
2018-04-15,215.970408
2018-04-16,248.430016
2018-04-17,240.178431
2018-04-18,235.158894
2018-04-19,233.448604
2018-04-20,228.86976
2018-04-21,205.229118
2018-04-22,202.950665
2018-04-23,239.827096
2018-04-24,242.582147
2018-04-25,237.645024
2018-04-26,254.612631
2018-04-27,242.270984
2018-04-28,214.904854
2018-04-29,209.88529
2018-04-30,228.471338
2018-05-01,221.00872
2018-05-02,250.456871
2018-05-03,255.098556
2018-05-04,242.71283
2018-05-05,210.09942
2018-05-06,202.738317
2018-05-07,232.846556
2018-05-08,235.280891
2018-05-09,234.353488
2018-05-10,214.548235
2018-05-11,221.54874
2018-05-12,200.218074
2018-05-13,202.682361
2018-05-14,229.974124
2018-05-15,230.703517
2018-05-16,235.915471
2018-05-17,239.35748
2018-05-18,243.608494
2018-05-19,212.142821
2018-05-20,196.428421
2018-05-21,206.700024
2018-05-22,233.63971
2018-05-23,238.397153
2018-05-24,240.18077
2018-05-25,238.087995
2018-05-26,200.138746
2018-05-27,198.594154
2018-05-28,233.088042
2018-05-29,237.563705
2018-05-30,235.987598
2018-05-31,229.203384
2018-06-01,231.268386
2018-06-02,205.658353
2018-06-03,203.88845
2018-06-04,248.363169
2018-06-05,253.923389
2018-06-06,237.976027
2018-06-07,239.860318
2018-06-08,232.709791
2018-06-09,206.771221
2018-06-10,202.196189
2018-06-11,233.265246
2018-06-12,238.631744
2018-06-13,237.373027
2018-06-14,236.981163
2018-06-15,233.550463
2018-06-16,204.463637
2018-06-17,208.328407
2018-06-18,245.805307
2018-06-19,242.523514
2018-06-20,235.731791
2018-06-21,239.016387
2018-06-22,236.330468
2018-06-23,210.528712
2018-06-24,211.034775
2018-06-25,244.59462
2018-06-26,240.314115
2018-06-27,238.4897
2018-06-28,236.674897
2018-06-29,235.799
2018-06-30,206.077842
2018-07-01,203.23715
2018-07-02,237.476174
2018-07-03,240.956037
2018-07-04,242.356104
2018-07-05,240.941386
2018-07-06,250.877856
2018-07-07,214.260671
2018-07-08,204.089434
2018-07-09,241.468569
2018-07-10,242.21445
2018-07-11,238.335499
2018-07-12,237.051019
2018-07-13,228.141609
2018-07-14,203.618318
2018-07-15,200.967258
2018-07-16,229.870932
2018-07-17,229.252226
2018-07-18,231.10889
2018-07-19,235.171885
2018-07-20,229.868106
2018-07-21,203.18439
2018-07-22,204.43121
2018-07-23,229.427069
2018-07-24,226.513574
2018-07-25,228.149924
2018-07-26,224.403359
2018-07-27,217.161272
2018-07-28,199.426912
2018-07-29,195.953587
2018-07-30,237.124843
2018-07-31,225.025909
2018-08-01,240.241737
2018-08-02,238.092968
2018-08-03,230.188378
2018-08-04,204.82609
2018-08-05,193.351452
2018-08-06,215.281376
2018-08-07,208.992761
2018-08-08,212.130552
2018-08-09,210.60738
2018-08-10,209.656005
2018-08-11,190.372117
2018-08-12,187.117862
2018-08-13,208.528062
2018-08-14,205.994446
2018-08-15,201.097951
2018-08-16,207.975427
2018-08-17,205.785342
2018-08-18,191.862929
2018-08-19,200.314674
2018-08-20,245.084975
2018-08-21,224.663646
2018-08-22,243.471246
2018-08-23,244.189507
2018-08-24,236.2171
2018-08-25,208.013152
2018-08-26,203.591976
2018-08-27,235.191951
2018-08-28,258.902894
2018-08-29,256.703966
2018-08-30,249.67244
2018-08-31,240.665995
2018-09-01,212.033472
2018-09-02,210.671304
2018-09-03,246.500051
2018-09-04,249.364356
2018-09-05,247.908538
2018-09-06,247.167667
2018-09-07,236.952915
2018-09-08,215.163136
2018-09-09,208.78378
2018-09-10,240.163892
2018-09-11,242.663879
2018-09-12,249.127978
2018-09-13,246.48806
2018-09-14,238.100956
2018-09-15,215.215271
2018-09-16,210.909978
2018-09-17,237.644654
2018-09-18,236.367173
2018-09-19,234.085833
2018-09-20,233.749981
2018-09-21,233.496243
2018-09-22,219.757855
2018-09-23,217.646442
2018-09-24,262.31782
2018-09-25,267.340514
2018-09-26,262.30248
2018-09-27,259.771895
2018-09-28,262.369855
2018-09-29,238.444892
2018-09-30,233.49872
2018-10-01,267.910332
2018-10-02,269.28042
2018-10-03,263.555829
2018-10-04,270.447748
2018-10-05,259.779676
2018-10-06,222.266418
2018-10-07,229.220113
2018-10-08,267.22028
2018-10-09,263.697494
2018-10-10,255.82141
2018-10-11,254.907733
2018-10-12,247.428845
2018-10-13,219.907731
2018-10-14,222.891369
2018-10-15,261.241512
2018-10-16,260.998003
2018-10-17,262.149438
2018-10-18,267.078484
2018-10-19,264.347492
2018-10-20,231.459214
2018-10-21,233.019385
2018-10-22,270.630563
2018-10-23,274.210573
2018-10-24,275.140719
2018-10-25,277.999444
2018-10-26,271.05655
2018-10-27,264.632737
2018-10-28,262.544327
2018-10-29,292.747952
2018-10-30,289.566962
2018-10-31,283.896491
2018-11-01,266.285197
2018-11-02,282.334252
2018-11-03,261.758145
2018-11-04,255.538541
2018-11-05,284.345192
2018-11-06,281.483485
2018-11-07,286.762639
2018-11-08,287.439091
2018-11-09,276.855115
2018-11-10,251.325423
2018-11-11,247.098531
2018-11-12,279.340653
2018-11-13,289.211366
2018-11-14,300.518355
2018-11-15,305.989284
2018-11-16,302.912013
2018-11-17,283.215957
2018-11-18,283.130771
2018-11-19,326.180149
2018-11-20,339.43791
2018-11-21,344.238807
2018-11-22,335.856566
2018-11-23,321.435596
2018-11-24,286.022138
2018-11-25,285.780255
2018-11-26,328.482333
2018-11-27,327.752856
2018-11-28,323.256112
2018-11-29,322.147848
2018-11-30,311.50341
2018-12-01,271.737862
2018-12-02,262.892575
2018-12-03,298.41271
2018-12-04,326.579226
2018-12-05,319.274504
2018-12-06,303.255181
2018-12-07,294.243563
2018-12-08,273.545351
2018-12-09,280.956134
2018-12-10,330.54344
2018-12-11,341.855976
2018-12-12,342.87999
2018-12-13,348.63103
2018-12-14,344.753146
2018-12-15,315.404001
2018-12-16,316.728098
2018-12-17,331.951084
2018-12-18,327.302757
2018-12-19,317.987469
2018-12-20,305.412697
2018-12-21,282.681948
2018-12-22,258.022015
2018-12-23,249.434197
2018-12-24,252.606202
2018-12-25,250.244538
2018-12-26,262.176106
2018-12-27,278.477222
2018-12-28,274.469572
2018-12-29,254.817597
2018-12-30,253.631033
2018-12-31,245.275954
2019-01-01,251.723914
2019-01-02,310.111325
2019-01-03,319.468735
2019-01-04,312.364042
2019-01-05,288.246768
2019-01-06,286.87466
2019-01-07,317.062715
2019-01-08,323.220491
2019-01-09,342.897314
2019-01-10,345.549346
2019-01-11,323.973252
2019-01-12,287.141827
2019-01-13,283.199867
2019-01-14,337.735486
2019-01-15,326.630041
2019-01-16,324.381265
2019-01-17,332.516741
2019-01-18,341.170192
2019-01-19,319.138726
2019-01-20,321.177692
2019-01-21,364.727668
2019-01-22,366.162689
2019-01-23,369.96285
2019-01-24,369.359074
2019-01-25,341.300923
2019-01-26,295.133124
2019-01-27,295.039964
2019-01-28,340.579197
2019-01-29,348.303426
2019-01-30,351.817983
2019-01-31,347.490002
2019-02-01,337.448906
2019-02-02,306.045804
2019-02-03,305.147364
2019-02-04,340.231222
2019-02-05,345.301647
2019-02-06,337.872186
2019-02-07,330.367993
2019-02-08,311.668897
2019-02-09,281.035024
2019-02-10,286.043146
2019-02-11,344.515855
2019-02-12,336.659883
2019-02-13,327.650048
2019-02-14,324.185284
2019-02-15,308.67446
2019-02-16,277.252335
2019-02-17,269.064936
2019-02-18,310.431658
2019-02-19,308.027236
2019-02-20,308.005784
2019-02-21,306.079933
2019-02-22,304.931601
2019-02-23,279.379537
2019-02-24,278.34996
2019-02-25,311.906088
2019-02-26,308.346083
2019-02-27,297.371985
2019-02-28,299.866387
2019-03-01,304.911197
2019-03-02,262.690388
2019-03-03,256.829601
2019-03-04,298.486806
2019-03-05,309.442814
2019-03-06,296.454987
2019-03-07,294.365156
2019-03-08,295.302014
2019-03-09,255.86446
2019-03-10,261.161654
2019-03-11,316.844923
2019-03-12,308.781409
2019-03-13,312.323721
2019-03-14,313.549397
2019-03-15,289.31555
2019-03-16,254.867311
2019-03-17,264.364987
2019-03-18,319.034369
2019-03-19,319.394871
2019-03-20,309.877125
2019-03-21,299.928147
2019-03-22,285.385495
2019-03-23,252.847958
2019-03-24,249.090747
2019-03-25,300.237484
2019-03-26,312.026347
2019-03-27,305.986362
2019-03-28,298.567553
2019-03-29,281.014876
2019-03-30,238.65312
2019-03-31,247.930281
2019-04-01,279.004055
2019-04-02,277.849419
2019-04-03,286.511428
2019-04-04,275.784901
2019-04-05,279.75598
2019-04-06,236.191145
2019-04-07,230.739942
2019-04-08,266.426944
2019-04-09,269.394888
2019-04-10,276.985853
2019-04-11,285.114058
2019-04-12,294.229691
2019-04-13,262.250321
2019-04-14,261.61928
2019-04-15,285.274052
2019-04-16,276.977467
2019-04-17,268.924858
2019-04-18,250.652439
2019-04-19,226.195195
2019-04-20,204.081701
2019-04-21,190.532743
2019-04-22,198.498476
2019-04-23,239.111912
2019-04-24,240.635822
2019-04-25,240.137059
2019-04-26,244.240183
2019-04-27,220.485411
2019-04-28,233.225974
2019-04-29,271.577866
2019-04-30,263.985052
2019-05-01,230.966054
2019-05-02,272.662744
2019-05-03,268.775391
2019-05-04,247.119389
2019-05-05,244.846349
2019-05-06,288.30303
2019-05-07,281.968241
2019-05-08,274.362079
2019-05-09,276.120561
2019-05-10,268.821577
2019-05-11,233.138079
2019-05-12,235.42948
2019-05-13,271.1402
2019-05-14,280.958644
2019-05-15,277.186632
2019-05-16,276.809912
2019-05-17,264.739464
2019-05-18,225.039765
2019-05-19,221.074597
2019-05-20,263.324283
2019-05-21,271.277275
2019-05-22,270.752895
2019-05-23,270.968212
2019-05-24,256.716754
2019-05-25,223.251058
2019-05-26,209.965408
2019-05-27,262.430865
2019-05-28,264.38202
2019-05-29,256.136114
2019-05-30,226.039708
2019-05-31,235.068704
2019-06-01,210.108969
2019-06-02,200.448064
2019-06-03,244.238987
2019-06-04,239.859662
2019-06-05,238.846244
2019-06-06,253.092227
2019-06-07,234.986946
2019-06-08,209.860817
2019-06-09,202.875976
2019-06-10,221.053474
2019-06-11,248.288791
2019-06-12,246.962848
