,Demand,,,,,,,,,,Demand (Net),,,,
,,,,,,,,,,,,,,,
,France,Belgium,Italy,Netherlands,GB,Austria,Germany,Switzerland,Luxembourg,Island of Ireland,Island of Ireland,Total,Industrial,LDZ,Gas-to-Power
,,,,,,,,,,,,,,,
42705,239.4452636,74.14390909,319.1022636,127.0845455,332.09,38.30727273,378.4805455,16.68103636,1.55,0,15.88,1542.764836,313.1720667,968.3513455,258.2183333
42706,224.2180182,67.63936364,300.5300364,131.4111818,322.75,35.13454545,375.3284545,16.73387273,1.688545455,0,14.78,1490.214018,314.1705364,905.9391364,266.7354364
42707,205.9295727,66.27463636,265.6624091,140.9765455,294.48,32.43272727,368.4486364,15.1334,1.367454545,0,10.85,1401.555382,292.1231273,879.5932273,226.5243909
42708,209.6374273,70.87518182,236.4796364,153.0763636,307.04,33.75,388.5844545,15.97018182,1.578545455,0,8.01,1425.001791,295.2641121,920.2511818,206.4334061
42709,223.7959182,78.26754545,297.7159091,169.1113636,358.64,39.91090909,443.8501818,16.55596364,1.876818182,0,13.56,1643.284609,333.2628182,1018.1238,288.4467182
42710,221.4626909,75.29472727,309.5342182,159.7639091,323.22,41.18545455,446.0169091,16.90693636,3.836727273,0,7.94,1605.161573,332.8069,986.6076182,282.2963273
42711,222.0587,70.28218182,310.2094727,136.8152727,258.12,43.58454545,422.4029091,17.06590909,3.904181818,0,6.24,1490.683173,320.2581758,911.5879636,255.9227606
42712,217.2522636,67.694,273.8972909,125.3827273,256.52,41.27090909,380.9477273,17.58786364,3.628909091,0,8.49,1392.671691,306.8583576,849.6593273,232.980097
42713,210.5999,63.88481818,303.1730545,114.9338182,230.26,36.13727273,349.2454545,17.63337273,3.595272727,0,5.28,1334.742964,298.1594545,805.3162182,228.3076545
42714,199.7437818,58.96781818,278.9135182,109.554,226.33,32.38363636,300.5687273,16.323,3.321454545,0,7.48,1233.585936,264.9223182,765.0609091,200.5642545
42715,188.7798818,57.96409091,257.9467909,105.7566364,258.99,31.64363636,289.3170909,17.05062727,2.629545455,0,7.78,1217.8583,266.6271515,757.3725364,191.2921576
42716,213.1122545,67.31945455,325.4236818,133.7537273,304.46,32.57181818,333.19,17.33362727,3.193909091,0,12.33,1442.688473,309.6833788,852.2530364,277.9165121
42717,211.2084273,68.54236364,337.5376273,135.5515455,278.04,37.46272727,352.4001818,16.66193636,3.259909091,0,8.07,1448.734718,314.3424061,852.7974545,278.2754939
42718,212.1322182,65.95545455,342.4733091,127.7110909,268.09,39.04909091,347.9826364,17.20554545,2.956454545,0,12.19,1435.7458,306.3050545,842.5990818,284.3267545
42719,210.7225727,68.24781818,345.0663455,136.0984545,278.69,38.17454545,355.674,17.86101818,3.043727273,0,10.75,1464.328482,309.7165697,873.8816455,277.7270848
42720,201.4871727,65.61872727,335.3900182,141.9811818,280.71,39.18454545,380.4807273,18.387,3.207727273,0,13.9,1480.3471,311.7753424,890.3070364,273.8275394
42721,196.1073909,63.02518182,300.2272909,122.4326364,265.56,35.63545455,359.4322727,16.89881818,3.201090909,0,13.73,1376.250136,270.6506727,864.6100545,236.1307727
42722,203.1432818,60.008,295.5606727,129.5650909,269.83,35.23454545,343.4028182,16.63511818,2.597636364,0,9.77,1365.747164,274.472503,859.14,227.2060242
42723,224.7195818,66.75436364,356.4232091,146.0422727,305.22,39.60545455,376.8233636,16.81124545,3.142545455,0,14.62,1550.162036,305.2776758,954.4709273,285.4565242
42724,224.8932,73.54163636,332.3644273,166.5009091,299.67,40.64181818,398.5217273,16.81266364,3.496363636,0,11.12,1567.562745,309.9683545,982.9282364,269.6105182
42725,217.2429545,70.15063636,299.8785,152.8389091,284.6,49.10727273,394.2657273,16.37137273,3.190181818,0,10.9,1498.545555,302.9220364,943.6359364,247.1062182
42726,204.1501,67.03018182,303.4270455,141.3321818,283.98,47.77181818,377.8408182,15.87387273,3.002818182,0,10.02,1454.428836,287.917603,916.5265545,244.6036788
42727,188.4020727,61.11618182,283.6191091,134.6019091,253.92,41.11090909,343.7593636,14.74999091,2.823272727,0,6.77,1330.872809,257.1889909,867.9108364,201.5987091
42728,154.8994909,47.70418182,246.0927727,110.0956364,227.45,30.68090909,285.523,12.85912727,2.438454545,0,5.04,1122.783573,214.3332818,768.3227545,137.3492636
42729,138.1223455,42.76454545,212.2386182,93.37654545,173.78,26.65,255.02,11.62111818,2.249363636,0,4.67,960.4925364,203.7298939,657.6712636,96.30019697
42730,162.8837,50.92672727,225.4254636,105.0943636,224.54,25.35727273,252.5043636,12.74702727,2.364909091,0,5.65,1067.493827,217.7028515,717.0120636,129.9068212
42731,195.4618545,60.97854545,252.3608455,128.9904545,289.46,32.74,289.862,14.33881818,2.895636364,0,6.95,1274.038155,250.5231939,827.2503545,193.4655152
42732,208.0076091,66.83318182,256.1313455,150.0717273,314.6,31.96727273,317.4636364,16.00276364,3.058,0,9.6,1373.735536,258.0264697,902.5084,208.2219394
42733,224.9994636,72.497,274.6564364,162.8928182,308.59,33.02363636,350.6444545,17.27157273,3.123909091,0,8.35,1456.049291,259.5643091,976.4559091,215.0949818
42734,233.8626727,72.15518182,280.8646727,158.7714545,289.29,37.59090909,369.4732727,19.17966364,3.185090909,0,5.68,1470.052918,265.3104545,997.2747818,203.1410455
42735,230.8462273,69.96118182,277.8367636,142.7304545,244.72,38.19090909,360.0671818,16.60981818,3.280636364,0,5,1389.243173,248.2068394,962.3714818,176.0473061
42736,220.7331273,68.37881818,259.5668636,129.4721818,250.42,38.02636364,361.4301818,16.69119091,3.193727273,0,4.49,1352.402455,250.6057636,942.9217455,155.9941273
42737,239.4955182,73.20209091,296.4728545,149.7310909,309.91,41.29,401.711,17.54920909,3.559909091,0,9.69,1542.611673,293.5546939,1027.089464,217.6938788
